,name,artist
202,you shouldn't kiss me like this,toby keith
203,i'm comin' over,chris young
204,in case you didn't know,brett young
205,hurricane,luke combs
206,tomorrow,chris young
207,you make it easy,jason aldean
208,beautiful crazy,luke combs
209,speechless,dan + shay
210,eyes on you,chase rice
211,black,dierks bentley
212,must be doin' somethin' right,billy currington
213,come a little closer,dierks bentley
214,come to bed - featuring john rich,gretchen wilson
215,raining on sunday,keith urban
216,strip it down,luke bryan
217,take your time,sam hunt
218,ride (feat. macy maloy),chase rice
219,wanna be that song,brett eldredge
220,it's your love,tim mcgraw
221,stay a little longer,brothers osborne
222,cowboys and angels,dustin lynch
223,amazed,lonestar
224,don't close your eyes,keith whitley
225,breathe,faith hill
226,fire away,chris stapleton
227,heartbeat,carrie underwood
228,backseat,kip moore
229,look at me,carrie underwood
230,about to get real,easton corbin
231,do i,luke bryan
232,drunk on you,luke bryan
233,that's how i know you love me,justin moore
234,sippin’ on fire,florida georgia line
235,like a rodeo,kane brown
236,let me down easy,billy currington
237,let's don't call it a night,casey james
238,johnny & june,heidi newfield
239,nothin' on you,cody johnson
240,what's mine is yours,kane brown
241,love me or leave me alone (feat. karen fairchild),dustin lynch
242,don't think i can't love you,jake owen
243,bring on the rain,jo dee messina
244,love like crazy,lee brice
245,dance or drink,shotgun rider
246,strawberry wine,deana carter
247,gettin' you home,chris young
248,i wanna make you close your eyes,dierks bentley
249,heaven,kane brown
250,alone with you,jake owen
251,i melt,rascal flatts
252,little moments,brad paisley
253,say you do,dierks bentley
254,good as you,kane brown
255,don't,billy currington
256,fall into me,brantley gilbert
257,keep me up all night,julie roberts
258,bed of my chevy,justin moore
259,hands on you,florida georgia line
260,say goodnight,eli young band
261,touch,josh abbott band
262,whisper,chase rice
263,let me,pat green
264,think a little less,michael ray
265,bring it on home,little big town
266,love the lonely out of you,brothers osborne
267,"long, slow kisses",jeff bates
268,i wanna make you cry,jeff bates
269,i don't want to miss a thing,mark chesnutt
270,lips of an angel,jack ingram
271,in a different light,doug stone
272,together,josh ward
273,what if you stay,chuck wicks
274,tie me down,taylor ray holbrook
275,angel like you,eli young band
276,lost in this moment,big & rich
277,tennessee whiskey,chris stapleton
278,why we call each other,dustin lynch
279,radio and the rain,chris young
280,everything in between,michael ray
281,back on it,dustin lynch
282,you won't ever be lonely,andy griggs
283,hope you get lonely tonight,cole swindell
284,burnin' it down,jason aldean
285,wasn't that drunk (feat. carly pearce),josh abbott band
286,comeback,kane brown
287,tangled up in you,aaron lewis
288,i may hate myself in the morning,lee ann womack
289,don't you wanna stay (with kelly clarkson),jason aldean
290,h.o.l.y.,florida georgia line
291,clockwork,easton corbin
292,state lines,dustin lynch
293,i don't dance,lee brice
294,dive - recorded at sound stage nashville,luke combs
295,every single kiss,kolby cooper
296,kiss me,casey donahew
297,just a kiss,lady a
298,game changer,marty heddin
299,die a happy man,thomas rhett
300,pony,various artists
301,wicked games,the weeknd
302,rocket,beyoncé
303,nice & slow,usher
304,let me love you,mario
305,"earned it (fifty shades of grey) - from the ""fifty shades of grey"" soundtrack",the weeknd
306,birthday sex,jeremih
307,often,the weeknd
308,leave with me,akif
309,ride,somo
310,sex with me,rihanna
311,"or nah (feat. the weeknd, wiz khalifa & dj mustard) - remix",ty dolla $ign
312,baddest (feat. chris brown & 2 chainz),yung bleu
313,asl (facts),yng martyr
314,the hills,the weeknd
315,"earned it (fifty shades of grey) - from the ""fifty shades of grey"" soundtrack",various artists
316,summer luv,prince hakim
