,name,artist
222,make me your queen,declan mckenna
223,meteor shower,cavetown
224,cloud 9,beach bunny
225,pretty boy,the neighbourhood
226,this love,taylor swift
227,crushcrushcrush,paramore
228,love like you,caleb hyles
229,lucky ones,lana del rey
230,paper rings,taylor swift
231,that way,tate mcrae
232,i wanna be yours,arctic monkeys
233,"dance, baby!",boy pablo
234,hot rod,dayglow
235,dontmakemefallinlove,cuco
236,falling for the wrong one,dreamer boy
237,24 / 7 / 365,surfaces
238,scrawny,wallows
239,sports,beach bunny
240,i don't wanna be okay without you,charlie burg
241,captivated,iv of spades
242,we find love,daniel caesar
243,i <3 u,boy pablo
244,i love you so,the walters
245,loving is easy,rex orange county
246,glad you exist,dan + shay
247,the good ones,gabby barrett
248,closer to you,carly pearce
249,made for you,jake owen
250,forever after all,luke combs
251,take my name,parmalee
252,the bones,maren morris
253,somebody like that,tenille arts
254,"big, big plans",chris lane
255,everywhere i'm goin',maddie & tae
256,nobody,dylan scott
257,home sweet,russell dickerson
258,thinking 'bout you (feat. mackenzie porter),dustin lynch
259,long haul,ian munsick
260,beautiful crazy,luke combs
261,another,adam doleac
262,slow dance in a parking lot,jordan davis
263,love you like i used to,russell dickerson
264,chasin' me,caroline jones
265,always gonna love you,florida georgia line
266,"10,000 hours (with justin bieber)",dan + shay
267,coulda loved you longer,adam doleac
268,breathe,faith hill
269,waves,luke bryan
270,in case you didn't know,brett young
271,happy anywhere (feat. gwen stefani),blake shelton
272,eyes on you,chase rice
273,yours,russell dickerson
274,till there's nothing left,cam
275,blessed,thomas rhett
276,speechless,dan + shay
277,hell of a view,eric church
278,prayed for you,matt stell
279,promise to love her,blane howard
280,always gonna love you,alana springsteen
281,ocean,lady a
282,shallow (the duet with garth brooks and trisha yearwood),trisha yearwood
283,makin' plans,miranda lambert
284,you time,scotty mccreery
285,all i need to see,mitch rossell
286,between you & me (feat. ashley cooke),roman alexander
287,world for two,king calaway
288,found it in you,tiera
289,die a happy man,thomas rhett
290,rumor,lee brice
291,the difference,tyler rich
292,you got me,olivia lane
293,ran into you,mitch rossell
294,something special,aubrie sellers
295,where would i be,lady a
296,would you go with me,josh turner
297,the rest of our life,tim mcgraw
298,millionaire,chris stapleton
299,diamonds or twine,ryan hurd
300,love is real,morgan evans
301,butterflies,kacey musgraves
302,parallel line,keith urban
303,greatest love story,lanco
304,"forever and ever, amen",randy travis
305,she's in love with the boy - single version,trisha yearwood
306,you make it easy,jason aldean
307,pushing up daisies (love alive),brothers osborne
308,then,brad paisley
309,"love, me",collin raye
310,back to life,rascal flatts
311,steady heart,kameron marlowe
312,this is it,scotty mccreery
313,my girl,dylan scott
314,i don't dance,lee brice
315,heaven,kane brown
316,got what i got,jason aldean
317,best shot,jimmie allen
318,tennessee whiskey,chris stapleton
319,i think i love you,ernest
320,kiss her,eric van houten
321,your man,josh turner
322,what ifs (feat. lauren alaina),kane brown
323,town home,austin burke
324,make me want to,jimmie allen
325,i hate love songs,kelsea ballerini
326,dare ya,carly pearce
327,body on fire,maggie rose
328,down for it,willie jones
329,who cares,filmore
330,unforgettable,thomas rhett
331,my boo,usher
332,if i ain't got you,alicia keys
333,miss independent,ne-yo
334,no one,alicia keys
335,always on time,ja rule
336,touch my body,mariah carey
337,what's luv? (feat. ja-rule & ashanti),fat joe
338,21 questions,50 cent
339,bleeding love,leona lewis
340,no air (feat. chris brown),jordin sparks
341,always be my baby,mariah carey
342,stickwitu,the pussycat dolls
343,me & u,cassie
344,don't matter,akon
345,beautiful girls,sean kingston
346,just a dream,nelly
347,whatever you like,t.i.
348,we belong together,mariah carey
349,mesmerize,ja rule
350,neighbors know my name,trey songz
351,suga suga,baby bash
352,"i need a girl (pt. 2) [feat. loon, ginuwine & mario winans]",various artists
353,let me hold you (feat. omarion),bow wow
354,mrs. officer,lil wayne
355,you can get it all (feat. johntá austin) - album crossfade version,bow wow
356,shawty is da shit,the-dream
357,i'm n luv (wit a stripper) (feat. mike jones),t-pain
358,rockin' that shit,the-dream
359,i luv your girl,the-dream
360,sure thing,miguel
361,all i want is you (feat. j. cole),miguel
362,thinkin bout you,frank ocean
363,get you (feat. kali uchis),daniel caesar
364,see you again (feat. kali uchis),"tyler, the creator"
365,japanese denim,daniel caesar
366,best part (feat. daniel caesar),h.e.r.
367,we find love,daniel caesar
368,hypnotized (feat. akon),plies
369,next to you,mike jones
370,candy shop,50 cent
371,kiss me thru the phone,soulja boy
372,like you (feat. ciara),bow wow
373,you,lloyd
374,kiss kiss (feat. t-pain),chris brown
375,best i ever had,drake
376,find your love,drake
377,love,keyshia cole
378,lost without u,robin thicke
379,when i see u,fantasia
380,so into you,tamia
381,lotus flower bomb (feat. miguel),wale
382,i choose you,mario
383,planez,jeremih
384,oui,jeremih
385,kevin’s heart,j. cole
386,needed me,rihanna
387,into you,ariana grande
388,exchange,bryson tiller
389,the way (feat. chance the rapper),kehlani
390,losin control,russ
391,"psycho, pt. 2",russ
392,ain't nobody takin my baby,russ
393,location,khalid
394,love. feat. zacari.,kendrick lamar
395,saved,khalid
396,juke jam (feat. justin bieber & towkio),chance the rapper
397,redbone,childish gambino
398,let's go,khalid
399,ride slow,russ
400,selfish,pnb rock
401,you & me,marc e. bassy
402,down for you (feat. bj the chicago kid),kehlani
403,you should be here,kehlani
404,love on top,beyoncé
405,clumsy,fergie
406,me & you,lafayette
407,nothin' on you (feat. bruno mars),b.o.b
408,just the way you are,bruno mars
409,a thousand years,christina perri
410,i won't give up,jason mraz
411,kiss me,ed sheeran
412,thinking out loud,ed sheeran
413,stay with me,sam smith
414,my boo - hitman's club mix,ghost town djs
415,love you down,inoj
416,all i want,inoj
417,right thru me,nicki minaj
418,your love,nicki minaj
419,im sprung,rasheeda
420,dreaming of you,selena
421,i could fall in love,selena
422,amor prohibido,selena
423,shawty is a 10 (103.5 bomb remix mix),smigg dirtee
424,soulja girl,soulja boy
425,i like the way you love me,brenton wood
426,yes. i'm ready,barbara mason
427,la-la means i love you,the delfonics
428,i'm your puppet,james & bobby purify
429,love...can be so wonderful,the temprees
430,"baby, i'm for real",the originals
431,heaven,bryan adams
432,love will keep us alive,eagles
433,thank you for loving me,bon jovi
434,when love and hate collide,def leppard
435,when i see you smile,bad english
436,straight from the heart,bryan adams
437,i'll be over you,toto
438,i live my life for you,firehouse
439,glory of love,peter cetera
440,sometimes love just ain't enough,patty smyth
441,i'll be there for you,bon jovi
442,you're the inspiration - 2006 remaster,chicago
443,open arms,journey
444,please forgive me,bryan adams
445,more than words,extreme
446,in my dreams,reo speedwagon
447,when i look into your eyes,firehouse
448,the search is over,survivor
449,never say goodbye,bon jovi
450,sometimes when we touch,rod stewart
451,"i don't want to miss a thing - from ""armageddon"" soundtrack",various artists
452,"all for love - from ""the three musketeers""",bryan adams
453,you're all i need,white lion
454,i'll stand by you,pretenders
455,"it must have been love - from the film ""pretty woman""",roxette
456,always,bon jovi
457,more than words can say,alias
458,have i told you lately - 2008 remaster,rod stewart
459,can't fight this feeling,reo speedwagon
460,if you belong to me,toto
461,"hello, again",tommy bolin
462,do i have to say the words?,bryan adams
463,love of a lifetime,firehouse
464,vulnerable,roxette
465,(i wanna take) forever tonight,peter cetera
466,bed of roses,bon jovi
467,i don't want to live without you,foreigner
468,i won't hold you back,toto
469,babe,styx
470,still in love with you,gary moore
471,two steps behind - string / acoustic version,def leppard
472,when you love a woman,journey
473,secret,heart
474,amanda,boston
475,can't change me,various artists
476,(everything i do) i do it for you,bryan adams
477,i don't want to talk about it - 2008 remaster,rod stewart
478,you keep breaking my heart,rough cutt
479,(make me do) anything you want,helix
480,lonely rose,sons of angels
481,anyone,justin bieber
482,what a time (feat. niall horan),julia michaels
483,i guess i'm in love,clinton kane
484,falling,harry styles
485,butterflies,james tw
486,ghost,justin bieber
487,rewrite the stars (with james arthur & anne-marie),james arthur
488,before you go,lewis capaldi
489,like no one does,jake scott
490,lose you to love me,selena gomez
491,i don't want to watch the world end with someone else,clinton kane
492,fallin' all in you,shawn mendes
493,you & me,james tw
494,holy (feat. chance the rapper),justin bieber
495,slow dance (feat. ava max),aj mitchell
496,"10,000 hours (with justin bieber)",dan + shay
497,easy,camila cabello
498,somebody to you,the vamps
499,first times,ed sheeran
500,imagine,ben platt
501,"hey stupid, i love you",jp saxe
502,i should probably go to bed,dan + shay
503,nobody else,lany
504,say you won't let go,james arthur
505,pov,ariana grande
506,losing me,gabrielle aplin
507,lie to me,5 seconds of summer
508,no judgement,niall horan
509,6 months,john k
510,what love is,tom gregory
511,best part of me (feat. yebba),ed sheeran
512,lovely,fly by midnight
513,if i didn't have you,banners
514,nobody's love,maroon 5
515,"never seen anything ""quite like you"" - acoustic",the script
516,"fire on fire - from ""watership down""",sam smith
517,peer pressure (feat. julia michaels),james bay
518,shivers,haris
519,fall so hard,christopher
520,the way i love you,yaeow
521,golden thing,cody simpson
522,17,julia michaels
523,better,zayn
524,happier,ed sheeran
525,slow,shy martin
526,turn back time,daniel schulz
527,when you love someone,james tw
528,stay next to me (with chelsea cutler),quinn xcii
529,say something,kodaline
530,girlfriend,charlie puth
531,loved you once,clara mae
532,i am falling in love,isak danielson
533,beautiful people (feat. khalid),ed sheeran
534,when we were young,adele
535,soul mate,flora cash
536,the bones,maren morris
537,i'm so tired...,lauv
538,let's fall in love for the night,finneas
539,renee's song,bazzi
540,positions,ariana grande
541,i want it all,the script
542,head & heart (feat. mnek) - acoustic,joel corry
543,feels like,gracie abrams
544,there you are,zayn
545,don't ever leave,dan talevski
546,secret love song (feat. jason derulo),little mix
547,big plans,why don't we
548,can i be him - acoustic live version,james arthur
549,the story never ends,lauv
550,too good at goodbyes,sam smith
551,ruin my life,zara larsson
552,good years,zayn
553,july (feat. leon bridges),noah cyrus
554,fake a smile,alan walker
555,anywhere with you (feat. andie nora),wallaby
556,be alright,dean lewis
557,no one compares to you,jack & jack
558,naked,james arthur
559,it's you,ali gatie
560,before i lose my mind - stripped,etham
561,i can't wait,micky skeel
562,you are the reason - duet version,calum scott
563,how do you sleep?,sam smith
564,best years,5 seconds of summer
565,say love,james tw
566,there's no way (feat. julia michaels),lauv
567,lucky,chelsea cutler
568,like i'm gonna lose you (feat. john legend),various artists
569,34+35,ariana grande
570,i can't fall in love without you,zara larsson
571,hurt somebody,noah kahan
572,favourite ex,maisie peters
573,suitcase,james tw
574,love looks better,alicia keys
575,let it be me,justin jesso
576,3 small words,misterwives
577,i'll wait,kygo
578,a thousand years,christina perri
579,take care of you,ella henderson
580,miss you 2,gabrielle aplin
581,against all odds (take a look at me now),phil collins
582,"because you loved me (theme from ""up close and personal"")",céline dion
583,right here waiting,richard marx
584,when you say nothing at all,ronan keating
585,endless love,lionel richie
586,(everything i do) i do it for you,bryan adams
587,your song,elton john
588,one moment in time,whitney houston
589,i'll stand by you,pretenders
590,the power of love,céline dion
591,you're still the one,shania twain
592,wonderful tonight,eric clapton
593,a groovy kind of love,phil collins
594,heaven,bryan adams
595,make you feel my love,adele
596,have i told you lately - 2008 remaster,rod stewart
597,don't know much (with aaron neville),linda ronstadt
598,i will always love you,whitney houston
599,up where we belong,joe cocker
600,hero,mariah carey
601,have i told you lately?,van morrison
602,i just can't stop loving you (feat. siedah garrett) - 2012 remaster,michael jackson
603,greatest love of all,whitney houston
604,there you'll be,faith hill
605,"can you feel the love tonight - end title/ from ""the lion king""/soundtrack version",various artists
606,eternal flame,the bangles
607,the rose,bette midler
608,how do i live,leann rimes
609,you are so beautiful,joe cocker
610,more than words,extreme
611,true colors,cyndi lauper
612,i have nothing,whitney houston
613,i'll be there,mariah carey
614,save the best for last,various artists
615,mandy,barry manilow
616,the lady in red,chris de burgh
617,if tomorrow never comes,ronan keating
618,now and forever,richard marx
619,just the way you are,billy joel
620,how am i supposed to live without you,michael bolton
621,if you don't know me by now - 2008 remaster,simply red
622,back for good - radio mix,take that
623,"have you ever really loved a woman? - from ""don juan demarco"" soundtrack",bryan adams
624,"(i've had) the time of my life - from ""dirty dancing"" soundtrack",various artists
625,"love is all around - from ""four weddings and a funeral""",wet wet wet
626,time after time,cyndi lauper
627,fields of gold,sting
