,name,artist
211,nunya (feat. dom kennedy),kehlani
212,monopoly (with victoria monét),ariana grande
213,press,cardi b
214,without me,halsey
215,so done,the kid laroi
216,hate the other side (with marshmello & the kid laroi),juice wrld
217,"hi, it's me",ashnikko
218,teenage fever,drake
219,girls need love,summer walker
220,do not disturb,drake
221,marvins room,drake
222,"iii. telegraph ave. (""oakland"" by lloyd)",childish gambino
223,shot for me,drake
224,don't,bryson tiller
225,thinkin bout you,frank ocean
226,exchange,bryson tiller
227,right my wrongs,bryson tiller
228,redemption,drake
229,lonely,akon
230,fuck love (feat. trippie redd),xxxtentacion
231,jocelyn flores,xxxtentacion
232,come and see me (feat. drake),partynextdoor
233,chasing pavements,adele
234,living single,big sean
235,no longer friends,bryson tiller
236,same drugs,chance the rapper
237,broken clocks,sza
238,shot down,khalid
239,sad!,xxxtentacion
240,jungle,drake
241,losin control,russ
242,coaster,khalid
243,i fall apart,post malone
244,die for you,the weeknd
245,ex calling,6lack
246,fire & desire,drake
247,from time,drake
248,true colors,the weeknd
249,well,grace gb
250,saved,khalid
251,love. feat. zacari.,kendrick lamar
252,right by my side,nicki minaj
253,moment 4 life,nicki minaj
254,luving u,6lack
255,ain't nobody takin my baby,russ
256,love galore (feat. travis scott),sza
257,"sorry, blame it on me",akon
258,stay,post malone
259,lovely (with khalid),billie eilish
260,never call me,jhené aiko
261,why,bazzi
262,save me,nicki minaj
263,chostantine,grace gb
264,falling in love,dennis kruissen
265,she knows me better,grace gb
266,mess,lil wayne
267,dark side of the moon (feat. nicki minaj),lil wayne
268,can't be friends,trey songz
269,get you (feat. kali uchis),daniel caesar
270,let me explain,bryson tiller
271,call out my name,the weeknd
272,while we're young,jhené aiko
273,obsesion (no es amor) (feat. baby bash),frankie j
274,idontwannabeyouanymore,billie eilish
275,she don't (feat. ty dolla $ign),ella mai
276,prblms,6lack
277,been that way,bryson tiller
278,all i ask,adele
279,what about me (feat. post malone),lil wayne
280,when the party's over,billie eilish
281,doing it wrong,drake
282,ghostin,ariana grande
283,in my head,ariana grande
284,romeo & juliet,trippie redd
285,slow dancing in the dark,joji
286,thru your phone,cardi b
287,ring (feat. kehlani),cardi b
288,ego,planb3e
289,be careful,cardi b
290,your love,nicki minaj
291,lucid dreams,juice wrld
292,faithfully unfaithful,fat fly freddie lee
293,how does it feel feat. kimie,the green
294,fire,doug panton
295,easily,bruno major
296,could've been (feat. bryson tiller),h.e.r.
297,alone,yo trane
298,july,noah cyrus
299,i'm leaving,evrod cassimy
300,tease,nikko tank
301,light,kabwasa
302,sure thing,miguel
303,heather,conan gray
304,i can't wait,grace gb
305,to the moon,phora
306,promises,jhené aiko
307,love you,roy woods
308,drama (feat. drake),roy woods
309,selfish,pnb rock
310,gonna love me,teyana taylor
311,ya acabo,marca mp
312,jugaste y sufrí,eslabon armado
313,her world or mine,michael ray
314,drowning,chris young
315,i hope you’re happy now,carly pearce
316,i hope,gabby barrett
317,one night standards,ashley mcbryde
318,chasin' you,morgan wallen
319,need you now,lady a
320,whiskey glasses,morgan wallen
321,nobody but you (duet with gwen stefani),blake shelton
322,after a few,travis denning
323,more than my hometown,morgan wallen
324,abby,travis denning
325,better together,luke combs
326,"wine, beer, whiskey",little big town
327,done,chris janson
328,ain't always the cowboy,jon pardi
329,god gave me you,blake shelton
330,some girls,jameson rodgers
331,the ones that didn’t make it back home,justin moore
332,dirt road,kidd g
333,give heaven some hell,hardy
334,truck,hardy
335,7 summers,morgan wallen
336,forever after all,luke combs
337,whiskey lullaby (feat. alison krauss),brad paisley
338,if i die young,the band perry
339,we danced,brad paisley
340,i got the boy,jana kramer
341,fly,maddie & tae
342,burning house,cam
343,heartbeat,carrie underwood
344,drink to that all night,jerrod niemann
345,aw naw,chris young
346,whatever she's got,david nail
347,must've never met you,luke combs
348,one number away,luke combs
349,alcohol you later,mitchell tenpenny
350,"lover, lover",jerrod niemann
351,teenage dream,kidd g
352,"take me home, country roads",john denver
353,i cross my heart - pure country soundtrack version,george strait
354,answer the call,shanna jackman
355,waitin' on 5,chris janson
356,time,dean brody
357,dear rodeo,cody johnson
358,where the sidewalk ends - pure country/soundtrack version,george strait
359,goodbye earl,the chicks
360,ready to run,the chicks
361,things a man oughta know,lainey wilson
362,next girl,carly pearce
363,memory i don't mess with,lee brice
364,hell of a view,eric church
365,drunk driving,koe wetzel
366,bandaid on a bullet hole - bonus,morgan wallen
367,865,morgan wallen
368,neon eyes,morgan wallen
369,warning,morgan wallen
370,dangerous,morgan wallen
371,wasted on you,morgan wallen
372,pretty heart,parker mccollum
373,like a cowboy,parker mccollum
374,angel wings,logan michael
375,she's somebody's daughter (the wedding version),drew baldridge
376,omg (feat. will.i.am),usher
377,party rock anthem,lmfao
378,good feeling,flo rida
379,dynamite,taio cruz
380,next girl,carly pearce
381,things a man oughta know,lainey wilson
382,drinkin' beer. talkin' god. amen. (feat. florida georgia line),chase rice
383,freedom was a highway,jimmie allen
384,to us it did,mitchell tenpenny
385,breakups,seaforth
386,breaking up was easy in the 90's,sam hunt
387,drunk (and i don't wanna go home),elle king
388,home sweet,russell dickerson
389,waves,luke bryan
390,memory i don't mess with,lee brice
391,i'll quit lovin' you,hardy
392,my girl,dylan scott
393,for her,chris lane
394,she never cried in front of me,toby keith
395,get to you,michael ray
396,hooked,dylan scott
397,drunk girl,chris janson
398,singles you up,jordan davis
399,most people are good,luke bryan
400,boy,lee brice
401,i lived it,blake shelton
402,rearview town,jason aldean
403,blank space,taylor swift
404,better than revenge,taylor swift
405,what a shame,leyla blue
406,josslyn,olivia o'brien
407,you & jennifer,bülow
408,she's so gone,lemonade mouth
